12-08 13:23:27.933 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.780284
12-08 13:23:27.951 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.14021443
12-08 13:23:27.951 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.72414434
12-08 13:23:27.951 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.056301355
12-08 13:23:27.951 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.7274249
12-08 13:23:27.971 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.13118409
12-08 13:23:27.971 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.0199928
12-08 13:23:27.971 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.046785116
12-08 13:23:27.971 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.49036336
12-08 13:23:27.992 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.24849984
12-08 13:23:27.992 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.1367884
12-08 13:23:27.992 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.36407515
12-08 13:23:27.992 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.26769438
12-08 13:23:28.012 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.015204653
12-08 13:23:28.012 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.4998976
12-08 13:23:28.012 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.3657929
12-08 13:23:28.012 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.12756263
12-08 13:23:28.031 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.20094305
12-08 13:23:28.031 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 2.3988895
12-08 13:23:28.031 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.4147447
12-08 13:23:28.031 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.12777156
12-08 13:23:28.053 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.015476923
12-08 13:23:28.053 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.7555308
12-08 13:23:28.053 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.2608217
12-08 13:23:28.053 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.087072976
12-08 13:23:28.072 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.20202923
12-08 13:23:28.072 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.1303732
12-08 13:23:28.072 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.64843345
