12-08 13:20:27.819 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.13694444
12-08 13:20:27.819 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.07996086
12-08 13:20:27.838 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.018406752
12-08 13:20:27.838 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.11954103
12-08 13:20:27.838 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.100255236
12-08 13:20:27.838 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.23129418
12-08 13:20:27.862 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.031095892
12-08 13:20:27.862 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.14934164
12-08 13:20:27.862 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.1767132
12-08 13:20:27.862 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.14439161
12-08 13:20:27.879 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.014368306
12-08 13:20:27.879 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.321433
12-08 13:20:27.879 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.23145795
12-08 13:20:27.879 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.15275861
12-08 13:20:27.899 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.014848508
12-08 13:20:27.899 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.22366309
12-08 13:20:27.899 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.33799553
12-08 13:20:27.899 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.14608775
12-08 13:20:27.919 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.014668949
12-08 13:20:27.919 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.23707339
12-08 13:20:27.919 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.16051432
12-08 13:20:27.919 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.112596214
12-08 13:20:27.939 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.03878734
12-08 13:20:27.939 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.37725544
12-08 13:20:27.939 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.066163
12-08 13:20:27.939 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.09745514
12-08 13:20:27.970 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.032462955
12-08 13:20:27.970 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.31747282
12-08 13:20:27.970 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.33232522
12-08 13:20:27.970 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.14250775
12-08 13:20:27.979 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.3285944
12-08 13:20:27.979 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.3226642
12-08 13:20:27.979 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.4561974
12-08 13:20:27.979 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.14926831
12-08 13:20:28.000 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.09662381
12-08 13:20:28.000 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.9490329
12-08 13:20:28.000 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.560143
12-08 13:20:28.000 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.14688468
12-08 13:20:28.019 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.6745515
12-08 13:20:28.020 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 2.1634457
12-08 13:20:28.020 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.7238826
12-08 13:20:28.020 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.4094684
12-08 13:20:28.040 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.07980585
12-08 13:20:28.040 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.51071787
12-08 13:20:28.040 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.87488043
12-08 13:20:28.040 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.12503827
12-08 13:20:28.071 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.47889522
12-08 13:20:28.071 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -2.3734877
12-08 13:20:28.072 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 2.5223765
12-08 13:20:28.072 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.5947007
12-08 13:20:28.080 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.042462766
12-08 13:20:28.080 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -2.0056982
12-08 13:20:28.080 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.58032227
12-08 13:20:28.080 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.6787033
12-08 13:20:28.101 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.20337053
12-08 13:20:28.101 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.4633081
12-08 13:20:28.101 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.2585459
12-08 13:20:28.101 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.5738972
12-08 13:20:28.121 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.2967623
12-08 13:20:28.121 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.70447814
12-08 13:20:28.121 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.51576805
12-08 13:20:28.121 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.15266162
12-08 13:20:28.140 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.075426765
12-08 13:20:28.140 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.00869751
12-08 13:20:28.140 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.035613805
12-08 13:20:28.140 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.06419699
12-08 13:20:28.169 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.26384395
12-08 13:20:28.169 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.6878643
12-08 13:20:28.169 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.6166161
12-08 13:20:28.169 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.17210758
12-08 13:20:28.180 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.18746425
12-08 13:20:28.181 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.2057755
12-08 13:20:28.181 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.7477061
12-08 13:20:28.181 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.17721374
12-08 13:20:28.202 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.1098061
12-08 13:20:28.202 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.64828205
12-08 13:20:28.203 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.35463983
12-08 13:20:28.203 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.1616963
12-08 13:20:28.221 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.08770778
12-08 13:20:28.221 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.25166577
12-08 13:20:28.221 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.2737152
12-08 13:20:28.221 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.036396757
12-08 13:20:28.241 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.009905312
12-08 13:20:28.241 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.41218102
12-08 13:20:28.241 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.67594224
12-08 13:20:28.241 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.07416888
12-08 13:20:28.265 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.0014057104
12-08 13:20:28.265 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.30732948
12-08 13:20:28.265 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.2762121
12-08 13:20:28.265 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.024329625
12-08 13:20:28.281 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.017347833
12-08 13:20:28.282 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.33378503
12-08 13:20:28.282 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.30209607
12-08 13:20:28.282 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.020497976
12-08 13:20:28.304 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.014003076
12-08 13:20:28.304 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.575265
12-08 13:20:28.304 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.116072536
12-08 13:20:28.304 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.48719567
12-08 13:20:28.322 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.16521661
12-08 13:20:28.322 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.65823853
12-08 13:20:28.322 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.57900417
12-08 13:20:28.322 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.055193424
12-08 13:20:28.342 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.43935463
12-08 13:20:28.342 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.3142646
12-08 13:20:28.342 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.2706548
12-08 13:20:28.342 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.118194625
12-08 13:20:28.366 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.43813506
12-08 13:20:28.366 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.07603958
12-08 13:20:28.366 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.7325841
12-08 13:20:28.366 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.22569793
12-08 13:20:28.382 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.4939873
