12-08 13:21:30.167 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.064796686
12-08 13:21:30.186 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.03728421
12-08 13:21:30.186 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.20018707
12-08 13:21:30.187 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.37058204
12-08 13:21:30.187 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.1145037
12-08 13:21:30.207 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.09434625
12-08 13:21:30.207 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.21653101
12-08 13:21:30.207 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.029224545
12-08 13:21:30.207 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.13479638
12-08 13:21:30.227 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.08612435
12-08 13:21:30.227 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.16706328
12-08 13:21:30.227 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.16679527
12-08 13:21:30.227 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.19844705
12-08 13:21:30.247 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.0016848296
12-08 13:21:30.247 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.17841285
12-08 13:21:30.247 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.23191999
12-08 13:21:30.247 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.14201748
12-08 13:21:30.267 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.01995473
12-08 13:21:30.267 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.27410722
12-08 13:21:30.267 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.4555895
12-08 13:21:30.267 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.15424015
12-08 13:21:30.287 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.01235155
12-08 13:21:30.287 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.30167866
12-08 13:21:30.287 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.30876285
12-08 13:21:30.287 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.11623694
12-08 13:21:30.308 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.045805197
12-08 13:21:30.308 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.2012555
12-08 13:21:30.308 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.16085285
12-08 13:21:30.308 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.2244615
12-08 13:21:30.328 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.01323135
12-08 13:21:30.328 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.23510863
12-08 13:21:30.328 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.27142936
12-08 13:21:30.328 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.18307346
